"","key","lat","lon","julian_day","keyUVP","latUVP","lonUVP","julian_dayUVP"
"69","THORIUM_183",-48.7,71.4,15290,"UVP_1262",-48.767,71.429,15289
"70","THORIUM_183",-48.7,71.4,15290,"UVP_1271",-48.765,71.425,15290
"71","THORIUM_183",-48.7,71.4,15290,"UVP_1272",-48.765,71.425,15290
"72","THORIUM_183",-48.7,71.4,15290,"UVP_1263",-48.766,71.43,15289
"73","THORIUM_183",-48.7,71.4,15290,"UVP_1264",-48.766,71.425,15289
"74","THORIUM_183",-48.7,71.4,15290,"UVP_1265",-48.766,71.425,15289
"75","THORIUM_183",-48.7,71.4,15290,"UVP_1266",-48.766,71.425,15289
"76","THORIUM_183",-48.7,71.4,15290,"UVP_1267",-48.766,71.425,15289
"77","THORIUM_183",-48.7,71.4,15290,"UVP_1268",-48.766,71.425,15290
"78","THORIUM_183",-48.7,71.4,15290,"UVP_1269",-48.766,71.425,15290
"79","THORIUM_183",-48.7,71.4,15290,"UVP_1270",-48.766,71.425,15290
"80","THORIUM_188",-48.4,71.9,15297,"UVP_1291",-48.412,71.903,15296
"81","THORIUM_188",-48.4,71.9,15297,"UVP_1292",-48.411,71.9,15296
"82","THORIUM_188",-48.4,71.9,15297,"UVP_1293",-48.412,71.9,15296
"83","THORIUM_188",-48.4,71.9,15297,"UVP_1294",-48.412,71.9,15297
"84","THORIUM_188",-48.4,71.9,15297,"UVP_1295",-48.412,71.9,15297
"85","THORIUM_188",-48.4,71.9,15297,"UVP_1296",-48.412,71.9,15297
"86","THORIUM_188",-48.4,71.9,15297,"UVP_1297",-48.412,71.9,15297
"87","THORIUM_187",-48.5,74.7,15285,"UVP_1241",-48.523,74.667,15283
"88","THORIUM_187",-48.5,74.7,15285,"UVP_1249",-48.619,74.804,15285
"89","THORIUM_187",-48.5,74.7,15285,"UVP_1250",-48.62,74.805,15285
"90","THORIUM_187",-48.5,74.7,15285,"UVP_1251",-48.62,74.806,15285
"91","THORIUM_187",-48.5,74.7,15285,"UVP_1252",-48.621,74.808,15285
"92","THORIUM_187",-48.5,74.7,15285,"UVP_1242",-48.523,74.668,15284
"93","THORIUM_187",-48.5,74.7,15285,"UVP_1243",-48.523,74.668,15284
"94","THORIUM_187",-48.5,74.7,15285,"UVP_1244",-48.505,74.614,15284
"95","THORIUM_187",-48.5,74.7,15285,"UVP_1245",-48.506,74.614,15284
"96","THORIUM_187",-48.5,74.7,15285,"UVP_1246",-48.506,74.614,15284
"97","THORIUM_187",-48.5,74.7,15285,"UVP_1247",-48.532,74.659,15284
"98","THORIUM_187",-48.5,74.7,15285,"UVP_1248",-48.531,74.658,15284
"99","THORIUM_188",-48.4,71.9,15297,"UVP_1298",-48.412,71.9,15298
"100","THORIUM_167",-50.3,66.7,15273,"UVP_1201",-50.294,66.853,15272
"101","THORIUM_167",-50.3,66.7,15273,"UVP_1205",-50.359,66.717,15272
"102","THORIUM_167",-50.3,66.7,15273,"UVP_1206",-50.359,66.717,15272
"103","THORIUM_167",-50.3,66.7,15273,"UVP_1207",-50.359,66.717,15273
"104","THORIUM_167",-50.3,66.7,15273,"UVP_1208",-50.389,66.693,15273
"105","THORIUM_167",-50.3,66.7,15273,"UVP_1209",-50.39,66.693,15273
"106","THORIUM_167",-50.3,66.7,15273,"UVP_1210",-50.389,66.693,15273
"107","SED_TRAP_1541",10.25,-21,16157,"UVP_2834",10.249,-21,16156
"108","SED_TRAP_1498",10,-21,16154,"UVP_2833",9.999,-21,16156
